Country,City_ID,Population
CY,146400,72000
CY,146412,26701
CY,146617,42526
AZ,146970,53100
AZ,147059,17242
AZ,147105,18662
AZ,147271,36555
AZ,147425,18661
AZ,147429,64754
AZ,147622,50244
AZ,147982,31381
AZ,148290,36259
AZ,148340,18182
AZ,148445,15190
AZ,148565,70220
AZ,148619,39451
TZ,148730,403658
TZ,148842,26450
TZ,148942,40145
TZ,148987,23307
TZ,149027,60849
TZ,149050,24650
TZ,149129,95052
TZ,149132,17742
TZ,149151,15514
TZ,149155,18726
TZ,149172,23724
TZ,149402,36556
TZ,149418,32900
TZ,149437,28398
TZ,149512,22082
TZ,149581,33094
TZ,149606,224876
TZ,149658,145292
TZ,149703,89161
TZ,149775,23618
TZ,149792,33932
TZ,149812,25821
TZ,149854,24317
TZ,149879,62432
TZ,149929,27113
TZ,150006,107362
TZ,150037,24817
TZ,150099,25657
TZ,150276,17455
TZ,150436,22069
TZ,150453,29228
TZ,150634,17092
TZ,150885,23747
TZ,150930,26584
TZ,151108,16507
TZ,151211,24648
TZ,151266,18428
TZ,151363,20049
TZ,151373,19815
TZ,151479,46724
TZ,151567,39135
TZ,151599,22658
TZ,151678,17181
TZ,151711,16890
TZ,151929,18595
TZ,151986,28218
TZ,152224,436801
TZ,152376,23296
TZ,152403,31324
TZ,152451,121119
TZ,152497,20254
TZ,152546,16715
TZ,152632,17000
TZ,152663,18431
TZ,152718,19040
TZ,152743,17754
TZ,152781,26725
TZ,152933,17861
TZ,153094,19806
TZ,153176,73338
TZ,153209,156959
TZ,153220,250902
TZ,153352,18737
TZ,153384,34970
TZ,153408,15168
TZ,153412,29394
TZ,153423,15576
TZ,153482,28037
TZ,153709,16822
TZ,153759,35530
TZ,153871,16780
TZ,154002,21553
TZ,154097,23718
TZ,154321,16442
TZ,154380,291649
TZ,154470,20534
TZ,154566,20241
TZ,154638,24070
TZ,154648,22025
TZ,154654,34780
TZ,154780,26531
TZ,155016,27041
TZ,155056,16916
TZ,155076,15516
TZ,155101,53003
TZ,155285,15009
TZ,155307,19082
TZ,155310,26131
TZ,155321,19086
TZ,155334,18753
TZ,155405,34958
TZ,155515,15320
TZ,155569,24197
TZ,155743,16902
TZ,155921,19296
TZ,156025,16008
TZ,156080,22551
TZ,156098,19185
TZ,156111,30684
TZ,156510,23518
TZ,156627,21342
TZ,156963,16371
TZ,156974,29804
TZ,157107,33111
TZ,157198,23519
TZ,157268,22839
TZ,157403,91889
TZ,157738,164268
TZ,157826,35953
TZ,157863,37542
TZ,157960,28666
TZ,157977,30163
TZ,158016,17211
TZ,158024,19526
TZ,158027,23651
TZ,158151,108558
TZ,158160,49691
TZ,158179,18430
TZ,158214,37349
TZ,158289,27681
TZ,158324,19803
TZ,158492,15701
TZ,158563,24688
TZ,158597,36014
TZ,158684,19421
TZ,158825,18010
TZ,158904,19711
TZ,159045,21094
TZ,159071,111820
TZ,159107,17775
TZ,159179,29193
TZ,159186,17342
TZ,159218,18870
TZ,159267,19692
TZ,159380,24895
TZ,159386,35644
TZ,159398,22810
TZ,159492,49528
TZ,159647,20231
TZ,159909,37909
TZ,159951,18528
TZ,160172,18864
TZ,160196,180541
TZ,160263,2698652
TZ,160266,19876
TZ,160464,24817
TZ,160552,27776
TZ,160592,30905
TZ,160660,34335
TZ,160670,22624
TZ,160677,21686
TZ,160798,16376
TZ,160833,52870
TZ,160877,27873
TZ,160892,50944
TZ,160961,70628
TZ,161023,32494
TZ,161154,34038
TZ,161197,20937
TZ,161204,19087
TZ,161218,33865
TZ,161290,82426
TZ,161312,34291
TZ,161325,341136
TM,161616,87822
TM,161901,18545
TM,161943,24312
TM,161974,21090
TM,162099,39481
TM,162158,22991
TM,162183,727700
TM,162199,27526
SY,162627,40502
SY,163270,29259
SY,163345,89457
SY,163476,25658
SY,163533,29754
SY,163779,38491
SY,163806,31249
SY,163808,51015
SY,163811,34670
SY,163915,30716
SY,164025,25514
SY,164328,25920
SY,164816,34231
SY,164898,31608
SY,164947,94887
SY,165060,27815
SY,165929,18511
SY,165997,30283
SY,166111,20656
SY,166331,25546
SY,167046,32262
SY,167357,68888
SY,167605,32163
SY,168325,48975
SY,168620,21845
SY,168629,22436
SY,168661,24754
SY,168668,21819
SY,169023,39311
SY,169113,32352
SY,169179,24997
SY,169304,65915
SY,169372,42474
SY,169375,29076
SY,169389,128840
SY,169577,775404
SY,169897,37348
SY,170017,460602
SY,170044,23403
SY,170063,1602264
SY,170592,111864
SY,170654,1569394
SY,170785,28905
SY,170794,242565
SY,170887,21481
SY,170892,71596
SY,171451,30354
SY,171830,39066
SY,172059,29549
SY,172082,66138
SY,172349,55561
SY,172374,87880
SY,172408,59052
SY,172469,25702
SY,172503,95832
SY,172946,53152
SY,172955,177636
SY,173193,49372
SY,173312,16118
SY,173322,41062
SY,173334,36143
SY,173361,31748
SY,173480,54534
SY,173576,340181
SY,173598,23526
SY,173811,81539
SY,173819,23784
SY,174018,130745
SY,174186,48693
SY,174259,21987
SY,174448,57572
SY,174506,29237
AM,174875,33160
AM,174895,20379
AM,174972,15208
AM,174979,20562
AM,174991,28832
ZM,175499,23693
ZM,176146,20570
ZM,176555,20589
KE,178202,22507
KE,178443,45771
KE,178522,19624
KE,179330,99322
KE,181135,30471
KE,182701,51084
KE,183027,31978
KE,184379,36061
KE,184433,36142
KE,184622,259903
KE,184707,38366
KE,184745,2750547
KE,185702,45485
KE,185939,15217
KE,186180,16243
KE,186301,799668
KE,186315,27896
KE,186731,35240
KE,186827,47226
KE,187585,15361
KE,187725,20841
KE,187896,36076
KE,187968,68304
KE,188080,20681
KE,188492,31971
KE,188657,40894
KE,189280,20219
KE,189741,24525
KE,191038,15954
KE,191220,75123
KE,191245,216479
KE,191299,28547
KE,192067,46118
KE,192710,21234
KE,192859,15287
KE,192900,35748
KE,193627,21476
KE,195272,63426
KE,196231,33207
KE,196742,40319
KE,197745,67861
KE,198476,34922
KE,198629,218446
KE,200067,55962
KE,200787,24530
RW,201463,47203
RW,201521,86685
RW,201865,33832
RW,202061,745261
RW,202065,48024
RW,202068,46240
RW,202217,87613
RW,202326,63883
RW,202905,83623
RW,203104,70593
RW,203112,89600
CD,203717,35531
CD,204283,24516
CD,204318,17373
CD,204405,170391
CD,204953,267462
CD,205970,17151
CD,207570,189177
CD,207596,50675
CD,209228,874761
CD,210379,41416
CD,210939,35183
CD,211098,43068
CD,211647,68244
CD,211734,70087
CD,212360,31943
CD,212730,539158
CD,212902,135698
CD,213940,55118
CD,214389,29412
CD,214481,463546
CD,214575,37034
CD,214614,73557
CD,214974,146974
CD,215527,59004
CD,215605,37034
CD,215668,29833
CD,215771,127076
CD,215976,107093
CD,216281,144124
CD,216404,50493
CD,216449,154425
CD,217389,22263
CD,217562,154621
CD,217570,50130
CD,217637,28919
CD,217695,96764
CD,217745,95520
CD,217831,225389
CD,217834,38770
CD,218253,17860
CD,218680,32091
CD,219057,89648
CD,219414,43709
CD,220448,35161
DJ,220782,22193
DJ,221527,17776
DJ,223817,623891
DJ,225284,40074
UG,225835,24300
UG,225858,24415
UG,225964,20530
UG,226110,40400
UG,226234,56400
UG,226823,30745
UG,226853,28348
UG,227592,16915
UG,227593,15300
UG,227812,61952
UG,227904,30354
UG,228227,22507
UG,228853,67290
UG,228971,18936
UG,229059,18800
UG,229139,41131
UG,229268,97500
UG,229278,76493
UG,229362,31486
UG,229380,65373
UG,229746,28338
UG,229911,35036
UG,230166,119323
UG,230299,18600
UG,230617,18800
UG,230893,56891
UG,231139,17947
UG,231696,21704
UG,232066,67269
UG,232371,17169
UG,232422,1353189
UG,233070,43500
UG,233114,93061
UG,233275,45024
UG,233312,39625
UG,233346,146858
UG,233476,42670
UG,233508,62969
UG,233730,79157
UG,233886,15130
UG,234077,43200
UG,234092,15889
UG,234178,16919
UG,234565,22500
UG,235039,55585
UG,235489,28700
MW,235715,34207
CF,237478,19431
CF,238566,16571
CF,239899,29027
CF,240498,24361
CF,240604,32547
SC,241131,22881
TD,245338,28885
TD,245785,74188
JO,246013,181212
JO,246314,18274
JO,247105,40241
JO,248370,82335
JO,248414,17837
JO,248875,27046
JO,248923,22756
JO,248946,307480
JO,250090,792665
JO,250152,18376
JO,250198,25429
JO,250258,80189
JO,250336,74901
JO,250420,17634
JO,250441,1275857
JO,250461,32396
JO,250582,57118
JO,250624,22581
JO,250637,46834
JO,250774,95048
JO,250799,125557
GR,251780,29033
GR,251833,84425
GR,251948,61888
GR,252601,26561
GR,252664,49809
GR,252910,22026
GR,253394,15497
GR,254144,26964
GR,254352,29907
GR,254698,17283
GR,255229,22399
GR,255274,172429
GR,255377,52609
GR,255524,137659
GR,255588,26288
GR,255683,163360
GR,256075,66292
GR,256429,94608
GR,256575,75421
GR,256601,81647
GR,256614,67835
GR,256621,23644
GR,256622,16432
GR,256639,18000
GR,256750,23533
GR,256866,28322
GR,257302,22385
GR,257365,24047
GR,258463,21492
GR,258576,128758
GR,258620,47246
GR,259245,19244
GR,259251,17151
GR,259289,30899
GR,259824,45755
GR,259949,31545
GR,259973,23953
GR,260114,54565
GR,260133,54558
GR,260172,74211
GR,260204,77222
GR,260989,32789
GR,261414,107767
GR,261604,51108
GR,261614,40490
GR,261678,26126
GR,261743,47006
GR,261745,137154
GR,261779,64012
GR,262135,58625
GR,262719,18094
GR,262752,27055
GR,264194,60662
GR,264371,729137
GR,264445,32711
GR,264559,19540
GR,264670,25091
GR,264888,28529
GR,265243,72310
GR,265252,19579
GR,265488,82376
GR,265500,20664
GR,265533,72320
GR,265560,43525
LB,266045,78145
LB,266826,229398
LB,267008,135204
LB,268064,163554
LB,268743,1251739
LB,273140,96315
LB,273203,20784
LB,274874,98433
LB,276359,20000
LB,276781,1916100
LB,277130,30916
LB,278913,120000
